Source,Target,Type,Weight
@Bancolombia,@Nequi,Undirected,3
@Bancolombia,@SFCsupervisor,Undirected,3
@Bancolombia,@SSociedades,Undirected,1
@Bancolombia,@ScotiaColpatria,Undirected,1
@Bancolombia,@bancobogota,Undirected,1
@Bancolombia,@bancocajasocial,Undirected,1
@Bancolombia,@bancosantander,Undirected,1
@Bancolombia,@bbva,Undirected,3
@Bancolombia,@cooservunal,Undirected,1
@Bancolombia,@davidbarguil,Undirected,1
@Bancolombia,@grupoaval,Undirected,1
@Bancolombia,@itaucol,Undirected,1
@Bancolombia,@superbancosEC,Undirected,1
@BancosAval,@Davivienda,Undirected,2
@BancosAval:,@BancosAval:,Undirected,3
@BancosAval:,@TuBoletaNews,Undirected,2
@BancosAval:,@eticketCOL,Undirected,4
@BcoFalabellaCo,@Davivienda,Undirected,1
@Bco_Occidente,@BancoAgrario,Undirected,1
@Bco_Occidente,@BancoFinandina,Undirected,1
@Bco_Occidente,@Davivienda,Undirected,1
@Bco_Occidente,@bancosantander,Undirected,1
@Berzota,@Davivienda,Undirected,1
@Berzota,@NennyAHN,Undirected,1
@Berzota,@SFCsupervisor,Undirected,1
@BinanceES,@BinanceHelpDesk,Undirected,1
@BinanceES,@Davivienda,Undirected,2
@BinanceES,@binance,Undirected,5
@BinanceES,@cz_binance,Undirected,3
@BinanceES,@elBitcoin,Undirected,1
@BinanceHelpDesk,@BinanceES,Undirected,1
@BinanceHelpDesk,@cz_binance,Undirected,3
@Binance_COL,@Davivienda,Undirected,1
@CAMdeSantaTecla,@SantaTeclaSV,Undirected,1
@CArdila28,@Davivienda,Undirected,1
@CCSILVA86,@QuintinQuinter,Undirected,1
@CCSILVA86,@claudiamzuleta,Undirected,1
@CEPaz_2,@jackematee,Undirected,1
@CEPaz_2,@retros_rarezas,Undirected,1
@CLONYHD,@Davivienda,Undirected,1
@Cairolinha,@Bancolombia,Undirected,1
@Cairolinha,@Davivienda,Undirected,1
@CaracolNoticias_,@CaracolNoticias_,Undirected,1
@CaracolNoticias_,@Davivienda,Undirected,3
@CaracolNoticias_,@binance,Undirected,2
@CaracolNoticias_,@cz_binance,Undirected,1
@CaracolRadio,@JCecheverryCol,Undirected,1
@CaracolTV,@Davivienda,Undirected,1
@CaracolTV,@andrescepeda,Undirected,1
@Caristi2,@Davivienda,Undirected,1
@Caristi2,@wilsonariasc,Undirected,1
@Carlosc30443031,@Davivienda,Undirected,1
@Carolalovi,@Davivienda,Undirected,2
@Carolin60498929,@MafeLemus5,Undirected,1
@CarsClauss,@Davivienda,Undirected,1
@Christian_4R4,@MaoS_777,Undirected,1
@Christian_BVC,@Christian_BVC,Undirected,1
@CinthyQuinones,@DIRECTVCo,Undirected,1
@CinthyQuinones,@Davivienda,Undirected,1
@CinthyQuinones,@andrescepeda,Undirected,1
@ClaroTeAyuda,@ClaroColombia,Undirected,1
@Colsubsidio_Ofi,@Davivienda,Undirected,2
@ConVergenza12,@MAndreaNieto,Undirected,1
