Id,Label,Type,Weight
@DaniaGonzalz,@DaniaGonzalz,Undirected,4
@DanielMedinaN,@DanielMedinaN,Undirected,1
@DanielP78061978,@DanielP78061978,Undirected,2
@Danny278,@Danny278,Undirected,1
@DannyElCentauro,@DannyElCentauro,Undirected,1
@DaveMendezL,@DaveMendezL,Undirected,3
@DaviEscucha,@DaviEscucha,Undirected,11
@DaviPlata,@DaviPlata,Undirected,116
@DavidFlorezMP,@DavidFlorezMP,Undirected,1
@DavidPaz_09,@DavidPaz_09,Undirected,2
@DavidRacero,@DavidRacero,Undirected,1
@Daviempleo,@Daviempleo,Undirected,1
@Daviplata,@Daviplata,Undirected,1
@Davivienda,@Davivienda,Undirected,1085
"@Davivienda,","@Davivienda,",Undirected,7
@Davivienda_Pan,@Davivienda_Pan,Undirected,1
@DeLaCalleHum,@DeLaCalleHum,Undirected,1
@DefensoriaCol,@DefensoriaCol,Undirected,2
@Defensoria_910,@Defensoria_910,Undirected,3
@Deftvergara05,@Deftvergara05,Undirected,2
@DemJessenia,@DemJessenia,Undirected,2
@DianaLuna07,@DianaLuna07,Undirected,2
@Diana_banana__,@Diana_banana__,Undirected,3
@DiarioBitcoin,@DiarioBitcoin,Undirected,1
@DonKaiser016,@DonKaiser016,Undirected,1
@Don_Mengano,@Don_Mengano,Undirected,1
@DonnaDonnut,@DonnaDonnut,Undirected,1
@DuberPaez,@DuberPaez,Undirected,1
@ECUANTICA,@ECUANTICA,Undirected,1
@EConsulteam,@EConsulteam,Undirected,1
@EDR_CD,@EDR_CD,Undirected,4
@ELTIEMPO,@ELTIEMPO,Undirected,3
@ENTERCO,@ENTERCO,Undirected,1
@Eder78849160,@Eder78849160,Undirected,1
@Edildiaz1501,@Edildiaz1501,Undirected,1
@Edimejia1979,@Edimejia1979,Undirected,25
@EdoCote,@EdoCote,Undirected,1
@EduardBernstei1,@EduardBernstei1,Undirected,1
@Efe_ElLeon,@Efe_ElLeon,Undirected,1
@ElPetisoArango,@ElPetisoArango,Undirected,1
@ElQueLosDELATA,@ElQueLosDELATA,Undirected,1
@ElRoRodry,@ElRoRodry,Undirected,1
@El_MAGDANIEL,@El_MAGDANIEL,Undirected,1
@El_Tesoro,@El_Tesoro,Undirected,1
@El_Toposo,@El_Toposo,Undirected,1
@Elambidiestro2,@Elambidiestro2,Undirected,1
@ElektraMx,@ElektraMx,Undirected,1
@Elizabe18211242,@Elizabe18211242,Undirected,1
@ElizabethGarrot,@ElizabethGarrot,Undirected,1
@ElsaNidiaRodrig,@ElsaNidiaRodrig,Undirected,1
@Elvalleselvalle,@Elvalleselvalle,Undirected,1
@EnKunfuncion,@EnKunfuncion,Undirected,2
@EnLineaBVC,@EnLineaBVC,Undirected,1
@EnriqueDelgadoP,@EnriqueDelgadoP,Undirected,4
@EnriquePenalosa,@EnriquePenalosa,Undirected,1
@EnzoVil45091798,@EnzoVil45091798,Undirected,1
@Epifania2021,@Epifania2021,Undirected,1
@Erikasu_18,@Erikasu_18,Undirected,1
@Error404col,@Error404col,Undirected,6
@Espino39170328,@Espino39170328,Undirected,1
@Estella92,@Estella92,Undirected,2
@ExtratiempoCO.,@ExtratiempoCO.,Undirected,1
@FNAraujoR,@FNAraujoR,Undirected,1
@FabioFernandoH1,@FabioFernandoH1,Undirected,2
@Falabella_co,@Falabella_co,Undirected,3
@Felipe200248,@Felipe200248,Undirected,1
@FelipeMuBe,@FelipeMuBe,Undirected,1
@FenixUlloaVP,@FenixUlloaVP,Undirected,2
@Fiigueeroa,@Fiigueeroa,Undirected,3
@Finagro,@Finagro,Undirected,1
@FinkP1oyd,@FinkP1oyd,Undirected,1
@FiscaliaCol,@FiscaliaCol,Undirected,10
@FodorJoseff,@FodorJoseff,Undirected,1
@ForniCarias,@ForniCarias,Undirected,1
@FranciaMarquezM,@FranciaMarquezM,Undirected,2
@FueledByChangua,@FueledByChangua,Undirected,2
@FundacionBD,@FundacionBD,Undirected,2
@G__________B,@G__________B,Undirected,1
@GabrielSantosCD,@GabrielSantosCD,Undirected,3
@GabrielaTafur,@GabrielaTafur,Undirected,1
@GarciaColorad0,@GarciaColorad0,Undirected,1
@GermanCrstancho,@GermanCrstancho,Undirected,3
@GinaSaboyal,@GinaSaboyal,Undirected,1
@Ginaa1931,@Ginaa1931,Undirected,1
@Ginnita95,@Ginnita95,Undirected,2
@Giovannirincon,@Giovannirincon,Undirected,1
@GomezCZ,@GomezCZ,Undirected,1
@GuinandSandra,@GuinandSandra,Undirected,2
@GustavoBolivar,@GustavoBolivar,Undirected,1
@GutierrezLuis_,@GutierrezLuis_,Undirected,1
@HC_Naty,@HC_Naty,Undirected,1
@HELIODOPTERO,@HELIODOPTERO,Undirected,1
@HERNANDEZHERMES,@HERNANDEZHERMES,Undirected,1
@HacheJota_RL,@HacheJota_RL,Undirected,1
@Hania_paternina,@Hania_paternina,Undirected,2
@Hanso_Hasashi_,@Hanso_Hasashi_,Undirected,3
@HeinerVelsquez,@HeinerVelsquez,Undirected,1
@HenryFloresST,@HenryFloresST,Undirected,1
@HugoLeonElRojo,@HugoLeonElRojo,Undirected,1
@HugoSal16633467,@HugoSal16633467,Undirected,1
@HypatiaHurtado,@HypatiaHurtado,Undirected,1
@IC,@IC,Undirected,1
@IFeel_SoSad,@IFeel_SoSad,Undirected,1
@ISAZULETA,@ISAZULETA,Undirected,1
@IknowyouwantmyK,@IknowyouwantmyK,Undirected,2
@Inkonstante1,@Inkonstante1,Undirected,1
@Innovabolivar,@Innovabolivar,Undirected,2
@IntensamenteKet,@IntensamenteKet,Undirected,1
@IsabelaV67,@IsabelaV67,Undirected,2
@ItsLondi_,@ItsLondi_,Undirected,1
@ItslittleAlee,@ItslittleAlee,Undirected,1
@IvanDuque,@IvanDuque,Undirected,2
@IvanMon95389245,@IvanMon95389245,Undirected,1
@IvanRodriguez7M,@IvanRodriguez7M,Undirected,1
@Ivan_abc,@Ivan_abc,Undirected,4
@Ivanteacher69,@Ivanteacher69,Undirected,1
@JABP008,@JABP008,Undirected,2
@JAHSc12,@JAHSc12,Undirected,1
@JBALVIN,@JBALVIN,Undirected,1
@JCecheverryCol,@JCecheverryCol,Undirected,5
@JERobledo,@JERobledo,Undirected,2
@JP_OviedoP,@JP_OviedoP,Undirected,1
@JaimeMolina,@JaimeMolina,Undirected,2
@Japaricio21,@Japaricio21,Undirected,2
@JavierEdu826,@JavierEdu826,Undirected,1
@JavierHTolosa,@JavierHTolosa,Undirected,1
@JavierJMED,@JavierJMED,Undirected,5
@JenniferAriasF,@JenniferAriasF,Undirected,1
@JeonPark_JP,@JeonPark_JP,Undirected,2
@Jergonzalez,@Jergonzalez,Undirected,1
@Jessie_Dlp,@Jessie_Dlp,Undirected,2
@JgStones,@JgStones,Undirected,1
@JhanPerezOk,@JhanPerezOk,Undirected,1
@Joacoro,@Joacoro,Undirected,1
@JohanTriana,@JohanTriana,Undirected,1
@JohanUlloaA,@JohanUlloaA,Undirected,1
@JohanaM00425654,@JohanaM00425654,Undirected,2
@JohnFredyRico,@JohnFredyRico,Undirected,1
@JohnTheKidUS,@JohnTheKidUS,Undirected,8
@Jokeraton,@Jokeraton,Undirected,3
@JorgeBuitragoT,@JorgeBuitragoT,Undirected,1
@JorgeIvanOspina,@JorgeIvanOspina,Undirected,1
@JorgeIzquierdo0,@JorgeIzquierdo0,Undirected,1
@Jorge_Montreal,@Jorge_Montreal,Undirected,5
@JosJime94206566,@JosJime94206566,Undirected,2
@JoseleOso,@JoseleOso,Undirected,1
@JovenesAccionCo,@JovenesAccionCo,Undirected,8
@JuanBucareli,@JuanBucareli,Undirected,3
@JuanDRomero,@JuanDRomero,Undirected,1
@JuanPabloIsazaP,@JuanPabloIsazaP,Undirected,1
@JuanitoDuque22,@JuanitoDuque22,Undirected,1
@Juank1388,@Juank1388,Undirected,1
@Juanma7725,@Juanma7725,Undirected,1
@Juanper62225640,@Juanper62225640,Undirected,1
@JuanseRios87,@JuanseRios87,Undirected,1
@JulianaUssa3,@JulianaUssa3,Undirected,1
@Julianaramirez6,@Julianaramirez6,Undirected,1
@JulioCesarOlay8,@JulioCesarOlay8,Undirected,1
@JuxnDiego,@JuxnDiego,Undirected,1
@KT_Leal,@KT_Leal,Undirected,2
@KarenMontaa13,@KarenMontaa13,Undirected,1
@KarenTralara,@KarenTralara,Undirected,1
@Karlaarcila,@Karlaarcila,Undirected,25
@Karol_pascuass,@Karol_pascuass,Undirected,1
@Krn_sbe,@Krn_sbe,Undirected,1
@LILIANACASTROMU,@LILIANACASTROMU,Undirected,2
@LaCombariza,@LaCombariza,Undirected,1
@LaHuellaSV,@LaHuellaSV,Undirected,1
@LaLocuraCrece,@LaLocuraCrece,Undirected,1
@LaSihuanaba1,@LaSihuanaba1,Undirected,1
@Lalita_Giraldo,@Lalita_Giraldo,Undirected,1
@Langarita2,@Langarita2,Undirected,1
@Lauraggils,@Lauraggils,Undirected,6
@LaurikiHazza,@LaurikiHazza,Undirected,1
@LeGoBo_,@LeGoBo_,Undirected,1
@LeoEnciso4,@LeoEnciso4,Undirected,1
@LeopoldoDuarteC,@LeopoldoDuarteC,Undirected,1
@Liaperezb,@Liaperezb,Undirected,1
@Liberen_a_Willy,@Liberen_a_Willy,Undirected,1
@Lidio_Dominante,@Lidio_Dominante,Undirected,1
@LigaDirectv,@LigaDirectv,Undirected,1
@LilodelaVega,@LilodelaVega,Undirected,2
@LilyMontesR,@LilyMontesR,Undirected,1
@LineaUribista07,@LineaUribista07,Undirected,1
@LizCordoba20,@LizCordoba20,Undirected,1
