Source,Target,Type,Weight
@bancorepublica,@sicsuper,undirected,9
@bancorepublica,@superservicios,undirected,3
@bancosantander,@bancoagrario,undirected,1
@bancosantander,@bancofinandina,undirected,1
@bancosaval,@davivienda,undirected,2
@bancosaval,@eticketcol,undirected,4
@bancosaval,@tuboletanews,undirected,2
@barrile37043017,@maribelvasquezj,undirected,1
@bbva,@banco_avvillas,undirected,2
@bbva,@bancoagrario,undirected,1
@bbva,@bancobogota,undirected,1
@bbva,@bancodebogota,undirected,1
@bbva,@bancofinandina,undirected,1
@bbva,@bancolombia,undirected,1
@bbva,@bancosantander,undirected,1
@bbva,@bancosaval,undirected,1
@bbva,@bco_occidente,undirected,1
@bbva,@davivienda,undirected,4
@bbva,@grupoaval,undirected,1
@bbva,@itaucol,undirected,1
@bbva_colombia,@bancocajasocial,undirected,1
@bbva_colombia,@bancodebogota,undirected,1
@bbva_colombia,@bancolombia,undirected,1
@bbva_colombia,@davivienda,undirected,1
@bbva_colombia,@nequi,undirected,1
@bco_occidente,@bancoagrario,undirected,1
@bco_occidente,@bancofinandina,undirected,1
@bco_occidente,@bancosantander,undirected,1
@bco_occidente,@davivienda,undirected,1
@bcofalabellaco,@davivienda,undirected,1
@berzota,@davivienda,undirected,1
@berzota,@nennyahn,undirected,1
@berzota,@sfcsupervisor,undirected,1
@bienes_cali,@telepacificotv,undirected,1
@binance,@binancehelpdesk,undirected,2
@binance,@cz_binance,undirected,2
@binance,@davivienda,undirected,15
@binance,@elbitcoin,undirected,1
@binance,@noticiascaracoltv,undirected,1
@binance,@noticiasrcn,undirected,3
@binance_col,@davivienda,undirected,1
@binancees,@binance,undirected,5
@binancees,@binancehelpdesk,undirected,1
@binancees,@cz_binance,undirected,3
@binancees,@davivienda,undirected,2
@binancees,@elbitcoin,undirected,1
@binancehelpdesk,@binancees,undirected,1
@binancehelpdesk,@cz_binance,undirected,3
@bnmascerca,@baccredomaticcr,undirected,1
@bnmascerca,@davivienda,undirected,1
@cachaful,@binance,undirected,2
@cachaful,@binancees,undirected,2
@cachaful,@binancehelpdesk,undirected,1
@cachaful,@cz_binance,undirected,1
@cachaful,@davivienda,undirected,1
@cafenofilo,@asnasalvaje,undirected,2
@cafenofilo,@davivienda,undirected,2
@cafenofilo,@tagy_petus,undirected,1
@cairolinha,@bancolombia,undirected,1
@cairolinha,@davivienda,undirected,1
@camara_dorada,@ccladorada,undirected,1
@camdesantatecla,@santateclasv,undirected,1
@camilosokka,@davivienda,undirected,1
@caracolnoticias_,@binance,undirected,2
@caracolnoticias_,@cz_binance,undirected,1
@caracolnoticias_,@davivienda,undirected,3
@caracolradio,@jcecheverrycol,undirected,1
@caracoltv,@andrescepeda,undirected,1
@caracoltv,@davivienda,undirected,1
@cardila28,@davivienda,undirected,1
@caristi2,@davivienda,undirected,1
@caristi2,@wilsonariasc,undirected,1
@carlitosecheve,@marianiniecheve,undirected,1
@carlos60285427,@bancolombia,undirected,1
@carlos60285427,@davivienda,undirected,1
@carlosc30443031,@davivienda,undirected,1
@carloscalero977,@arthurdux1,undirected,2
@carloscalero977,@davivienda,undirected,3
@carloscalero977,@wilsonariasc,undirected,3
@carlosh1975,@davivienda,undirected,1
@carloshtorivera,@asociacionmi,undirected,1
@carolalovi,@davivienda,undirected,2
@carolin60498929,@mafelemus5,undirected,1
@carsclauss,@davivienda,undirected,1
@ccsilva86,@claudiamzuleta,undirected,1
@ccsilva86,@quintinquinter,undirected,1
@cepaz_2,@jackematee,undirected,1
@cepaz_2,@retros_rarezas,undirected,1
@chivowallet,@daviescucha,undirected,1
@chivowallet,@davivienda,undirected,1
@christian_4r4,@maos_777,undirected,1
@ciencuadras,@davivienda,undirected,4
@ciencuadras,@innovabolivar,undirected,2
@ciencuadras,@mbcomunicacion,undirected,1
@ciencuadras,@priradiotv,undirected,2
@ciencuadras,@prisaradio,undirected,1
@ciencuadras,@ricardocipago,undirected,2
@ciencuadras,@segurosbolivar,undirected,3
@ciencuadras,@troya_noticias,undirected,3
@cinthyquinones,@andrescepeda,undirected,1
@cinthyquinones,@davivienda,undirected,1
@cinthyquinones,@directvco,undirected,1
@claroteayuda,@clarocolombia,undirected,1
@claucarma1,@davivienda,undirected,1
@claucarma1,@wilsonariasc,undirected,2
@claudiamzuleta,@quintinquinter,undirected,1
@clonyhd,@davivienda,undirected,1
@cochita417,@davivienda,undirected,2
@colombian_ade,@makathelion,undirected,1
@colsubsidio_ofi,@davivienda,undirected,2
@convergenza12,@mandreanieto,undirected,1
@cooservunal,@banco_avvillas,undirected,1
@cooservunal,@bancopichincha,undirected,1
@credibanco_,@davivienda,undirected,1
@cristia56444419,@mafecarrascal,undirected,1
@cristia56444419,@monvelt,undirected,1
@cristoatado,@davivienda,undirected,1
@cristylopezleon,@asofiamr4,undirected,1
@cristylopezleon,@bancopromerica,undirected,1
@crpandemonium,@camara_dorada,undirected,1
@crpandemonium,@ccladorada,undirected,1
@crpandemonium,@davivienda,undirected,1
@crpandemonium,@sicsuper,undirected,1
@cz_binance,@binance,undirected,1
@cz_binance,@davivienda,undirected,4
@cz_binance,@elbitcoin,undirected,1
@daniagonzalz,@davivienda,undirected,1
@daniagonzalz,@williamsorianoh,undirected,1
@danielburitica,@davivienda,undirected,1
@danielburitica,@isalopezgiraldo,undirected,1
@danielburitica,@social_skin_,undirected,1
@danielburitica,@youtube,undirected,1
@danielp78061978,@binance,undirected,1
@danielp78061978,@davivienda,undirected,2
@danielp78061978,@edimejia1979,undirected,1
@danytorresang,@bancolombia,undirected,1
@danytorresang,@davivienda,undirected,1
@darcyquinnr,@davivienda,undirected,1
@davemendezl,@davidpaz_09,undirected,1
@davemendezl,@davivienda,undirected,2
@davicorredores,@davivienda,undirected,3
@davicorredores,@germancrstancho,undirected,1
@davidbarguil,@davivienda,undirected,1
@davidbarguil,@defensoriacol,undirected,1
@davidbarguil,@eltiempo,undirected,1
@davidbarguil,@ivanduque,undirected,1
@davidbarguil,@lizcordoba20,undirected,1
@davidbarguil,@nicolasmaduro,undirected,2
@davidbarguil,@petrogustavo,undirected,2
@davidbarguil,@piedadcordoba,undirected,2
@davidfarmenta,@juanitoduque22,undirected,1
@davidfarmenta,@marcela_azul,undirected,1
@davidpaz_09,@davivienda,undirected,1
@davidpaz_09,@jabp008,undirected,1
@davidracero,@edr_cd,undirected,2
@daviescucha,@telefonorojo,undirected,1
@daviplata,@alkosto,undirected,1
@daviplata,@asobancaria,undirected,2
@daviplata,@bancolombia,undirected,1
@daviplata,@bancorepublica,undirected,7
@daviplata,@clarocolombia,undirected,1
@daviplata,@claroteayuda,undirected,1
@daviplata,@daviescucha,undirected,1
@daviplata,@davivienda,undirected,59
@daviplata,@epayco,undirected,1
@daviplata,@falabella_co,undirected,1
@daviplata,@fiscaliacol,undirected,2
@daviplata,@gutierrezluis,undirected,1
@daviplata,@johnsonmtb,undirected,4
@daviplata,@liberen_a_willy,undirected,1
@daviplata,@misterpanbarranquilla,undirected,4
@daviplata,@movistarco,undirected,1
@daviplata,@nequi,undirected,1
@daviplata,@pombo_s,undirected,1
@daviplata,@prosperidadcol,undirected,1
@daviplata,@rappipay,undirected,1
@daviplata,@sfcsupervisor,undirected,23
@daviplata,@sicsuper,undirected,13
@daviplata,@superservicios,undirected,7
@davivienda,@actualidadpanam,undirected,1
@davivienda,@alkosto,undirected,1
@davivienda,@almacenesexito,undirected,1
@davivienda,@andrescepeda,undirected,5
@davivienda,@asnasalvaje,undirected,7
@davivienda,@asobancaria,undirected,3
@davivienda,@avianca,undirected,1
@davivienda,@banco_avvillas,undirected,5
@davivienda,@bancoagrario,undirected,1
@davivienda,@bancoagricolasv,undirected,1
@davivienda,@bancobogota,undirected,1
@davivienda,@bancocuscatlan_,undirected,1
@davivienda,@bancodebogota,undirected,5
@davivienda,@bancofinandina,undirected,1
@davivienda,@bancolombia,undirected,25
@davivienda,@bancopichincha,undirected,2
@davivienda,@bancopopularcr,undirected,1
@davivienda,@bancorepublica,undirected,5
@davivienda,@bancosantander,undirected,1
@davivienda,@bbva,undirected,1
@davivienda,@bco_occidente,undirected,2
@davivienda,@binance,undirected,4
@davivienda,@camara_dorada,undirected,1
@davivienda,@caracoltv,undirected,1
@davivienda,@caroooooood,undirected,2
@davivienda,@catalba,undirected,1
@davivienda,@ccladorada,undirected,1
@davivienda,@cgr_colombia,undirected,1
@davivienda,@clarocolombia,undirected,1
@davivienda,@claroteayuda,undirected,1
@davivienda,@colconsumidor,undirected,1
@davivienda,@cooservunal,undirected,1
@davivienda,@cristoatado,undirected,1
@davivienda,@daniagonzalz,undirected,1
@davivienda,@davidbarguil,undirected,2
@davivienda,@davidflorezmp,undirected,1
@davivienda,@daviescucha,undirected,10
@davivienda,@daviplata,undirected,61
@davivienda,@davivienda_pan,undirected,1
@davivienda,@ddom1975,undirected,1
@davivienda,@defensoria_910,undirected,2
@davivienda,@defensoriacol,undirected,2
@davivienda,@dijo,undirected,1
@davivienda,@drcata,undirected,1
@davivienda,@efe_elleon,undirected,1
@davivienda,@el_tesoro,undirected,1
@davivienda,@eltiempo,undirected,1
@davivienda,@enterco,undirected,1
@davivienda,@epayco,undirected,1
@davivienda,@estella92,undirected,1
@davivienda,@falabella_co,undirected,1
@davivienda,@farmaceuticoac1,undirected,1
@davivienda,@fdoatehortua,undirected,1
@davivienda,@fernandhovilla,undirected,4
@davivienda,@finagro,undirected,1
@davivienda,@fiscaliacol,undirected,8
@davivienda,@fundacionbd,undirected,1
@davivienda,@germancrstancho,undirected,3
@davivienda,@giz_gmbh,undirected,1
@davivienda,@gleniiaaa,undirected,1
@davivienda,@grupoaval,undirected,2
@davivienda,@gustavobolivar,undirected,1
@davivienda,@gutierrezluis,undirected,1
@davivienda,@heliodoptero,undirected,1
@davivienda,@ic,undirected,1
@davivienda,@innovabolivar,undirected,2
@davivienda,@isalopezgiraldo,undirected,2
@davivienda,@ivan_abc,undirected,2
@davivienda,@jesica_dlp,undirected,1
@davivienda,@johanulloaa,undirected,1
@davivienda,@johnsonmtb,undirected,2
@davivienda,@johnthekidus,undirected,1
@davivienda,@jorge_montreal,undirected,3
@davivienda,@karlaarcila,undirected,1
@davivienda,@lafm,undirected,3
@davivienda,@larepublica_co,undirected,2
@davivienda,@liberen_a_willy,undirected,1
@davivienda,@lilianacastromu,undirected,1
@davivienda,@lopez65,undirected,1
@davivienda,@losdanieles,undirected,1
@davivienda,@maccenter,undirected,1
@davivienda,@madridistaasin0,undirected,1
@davivienda,@marianiniecheve,undirected,3
@davivienda,@mariobotinat,undirected,1
@davivienda,@mbcomunicacion,undirected,1
@davivienda,@mercadopago,undirected,1
@davivienda,@metrodemedellin,undirected,1
@davivienda,@mininterior,undirected,1
@davivienda,@mis,undirected,1
@davivienda,@misterpanbarranquilla,undirected,4
@davivienda,@movistarco,undirected,1
@davivienda,@movistarplus,undirected,1
@davivienda,@nathygat7,undirected,2
@davivienda,@nenarrazola,undirected,1
@davivienda,@nequi,undirected,3
@davivienda,@nicolastovarz,undirected,1
@davivienda,@noticia_lopez65,undirected,1
@davivienda,@noticiascaracoltv,undirected,1
@davivienda,@noticiasrcn,undirected,3
@davivienda,@nubank,undirected,3
@davivienda,@pactocol,undirected,1
@davivienda,@paoherrerac,undirected,1
@davivienda,@petrogustavo,undirected,2
@davivienda,@plazacentralccb,undirected,1
@davivienda,@policiacali,undirected,1
@davivienda,@polombiano88,undirected,1
@davivienda,@polombianodbien,undirected,1
@davivienda,@priradiotv,undirected,2
@davivienda,@prisaradio,undirected,1
@davivienda,@prosperidadcol,undirected,1
@davivienda,@puntored_co,undirected,1
@davivienda,@r_de_alicantino,undirected,1
@davivienda,@readloverspcj,undirected,1
@davivienda,@ricardocipago,undirected,2
@davivienda,@roybarreras,undirected,1
@davivienda,@sago2022,undirected,1
@davivienda,@santiguerrerow,undirected,1
@davivienda,@sarriamo,undirected,1
@davivienda,@scotiacolpatria,undirected,1
@davivienda,@segurosbolivar,undirected,7
@davivienda,@segurosmundial,undirected,1
@davivienda,@sfcsupervisor,undirected,76
@davivienda,@sicresponde,undirected,1
@davivienda,@sicsuper,undirected,22
@davivienda,@social_skin_,undirected,3
@davivienda,@ssf_elsalvador,undirected,6
@davivienda,@ssfgobsv,undirected,1
@davivienda,@ssociedades,undirected,1
@davivienda,@superbancosec,undirected,1
@davivienda,@superservicios,undirected,5
@davivienda,@telefonorojo,undirected,8
@davivienda,@troya_noticias,undirected,3
@davivienda,@tucivica,undirected,1
@davivienda,@twitter,undirected,1
@davivienda,@uber_col,undirected,1
@davivienda,@uber_support,undirected,1
@davivienda,@unaloficial,undirected,2
@davivienda,@villamilmarlene,undirected,1
@davivienda,@villanuevaguaj,undirected,1
@davivienda,@w_radio,undirected,1
@davivienda,@wellagency3,undirected,1
@davivienda,@wilsonariasc,undirected,13
@davivienda,@youtube,undirected,1
@defensoria_910,@ssf_elsalvador,undirected,1
@defensoriacol,@cgr_colombia,undirected,1
@deftvergara05,@daviplata,undirected,2
@deftvergara05,@davivienda,undirected,2
@delmyeliza1,@daniagonzalz,undirected,1
@diana_banana__,@davivienda,undirected,2
@dianaluna07,@davivienda,undirected,2
@dijo,@mis,undirected,1
@diosesoler,@wilsonariasc,undirected,1
@distimicaa,@daviplata,undirected,2
@distimicaa,@davivienda,undirected,1
